銘柄コード,日時,数量,約定価格,終値,約定代金,手数料,取得費（税抜）,実現損益,評価損益,コード
AA,"2021-05-10, 13:04:20",1,42.05,41.04,-42.05,-0.4205,42.4705,0,-1.01,O
AA,"2021-05-10, 14:57:26",-1,41.5138,41.04,41.5138,-0.41546872,-42.4705,-1.372169,0.4738,C
AA,,0,,,-0.5362,-0.83596872,0,-1.372169,-0.5362,
AAL,"2021-05-13, 15:32:33",4,21.31,21.21,-85.24,-0.8628,86.1028,0,-0.4,O
AAL,"2021-05-13, 15:58:01",-4,21.202,21.21,84.808,-0.848988521,-86.1028,-2.143789,-0.032,C
AAL,,0,,,-0.432,-1.711788521,0,-2.143789,-0.432,
ABCL,"2021-03-30, 11:11:10",1,25.43,26.68,-25.43,-0.2543,25.6843,0,1.25,O
ABCL,"2021-03-30, 12:04:34",-1,24.7538,26.68,24.7538,-0.247783244,-25.6843,-1.178283,-1.9262,C
ABCL,,0,,,-0.6762,-0.502083244,0,-1.178283,-0.6762,
AEVA,"2021-03-19, 11:16:11",1,14.46,14.57,-14.46,-0.1446,14.6046,0,0.11,O
AEVA,"2021-03-22, 09:30:03",-1,15.31,14.23,15.31,-0.153297081,-14.6046,0.552103,1.08,C
AEVA,,0,,,0.85,-0.297897081,0,0.552103,1.19,
AFIB,"2021-03-22, 10:46:38",1,16.59,15.83,-16.59,-0.1659,16.7559,0,-0.76,O
AFIB,"2021-03-22, 15:27:11",-1,15.93,15.83,15.93,-0.159500243,-16.7559,-0.9854,0.1,C
AFIB,,0,,,-0.66,-0.325400243,0,-0.9854,-0.66,
AFMD,"2021-04-13, 10:48:41",3,10.37,9.89,-31.11,-0.3111,31.4211,0,-1.44,O
AFMD,"2021-04-13, 11:24:05",-3,10.01,9.89,30.03,-0.300810153,-31.4211,-1.69191,0.36,C
AFMD,,0,,,-1.08,-0.611910153,0,-1.69191,-1.08,
AGC,"2021-04-08, 11:49:11",2,13.51,14.1,-27.02,-0.2702,27.2902,0,1.18,O
AGC,"2021-04-12, 11:52:10",2,14.1,13.95,-28.2,-0.288,28.488,0,-0.3,O
AGC,"2021-04-12, 12:29:41",-2,13.9,13.95,27.8,-0.28397978,-27.2902,0.22582,-0.1,C
AGC,"2021-04-13, 09:30:00",-2,14.6,15.33,29.2,-0.29238692,-28.488,0.419613,-1.46,C
AGC,,0,,,1.78,-1.1345667,0,0.645433,-0.68,
ALLT,"2021-04-08, 10:45:43",1,19.95,19.36,-19.95,-0.1995,20.1495,0,-0.59,O
ALLT,"2021-04-08, 15:24:16",-1,19.4338,19.36,19.4338,-0.194556112,-20.1495,-0.910256,0.0738,C
ALLT,,0,,,-0.5162,-0.394056112,0,-0.910256,-0.5162,
AMC,"2021-05-12, 10:42:08",6,10.17,10.32,-61.02,-0.6258,61.6458,0,0.9,O
AMC,"2021-05-13, 09:36:46",-6,10.89,12.77,65.34,-0.654447234,-61.6458,3.039753,-11.28,C
AMC,"2021-05-13, 10:39:18",7,12,12.77,-84,-0.84,84.84,0,5.39,O
AMC,"2021-05-13, 11:09:32",-7,11.6638,12.77,81.6466,-0.817715398,-84.84,-4.011115,-7.7434,C
AMC,"2021-05-17, 10:30:17",5,13.598,13.95,-67.99,-0.6799,68.6699,0,1.76,O
AMC,"2021-05-19, 09:30:01",-5,12.92,12.64,64.6,-0.64692446,-68.6699,-4.716824,1.4,C
AMC,,0,,,-1.4234,-4.264787092,0,-5.688186,-9.5734,
AMR,"2021-03-18, 10:44:07",1,13.33,13.48,-13.33,-0.1333,13.4633,0,0.15,O
AMR,"2021-03-19, 15:55:00",-1,12.5638,12.58,12.5638,-0.125821075,-13.4633,-1.025321,-0.0162,C
AMR,,0,,,-0.7662,-0.259121075,0,-1.025321,0.1338,
AMWL,"2021-05-25, 11:00:54",6,12.07,11.9,-72.42,-0.7242,73.1442,0,-1.02,O
AMWL,"2021-05-25, 11:05:34",-6,11.92,11.9,71.52,-0.716278752,-73.1442,-2.340479,0.12,C
AMWL,,0,,,-0.9,-1.440478752,0,-2.340479,-0.9,
ARKK,"2021-05-07, 12:57:14",1,110.91,109.72,-110.91,-1,111.91,0,-1.19,O
ARKK,"2021-05-07, 13:29:17",-1,109.9,109.72,109.9,-1.00067949,-111.91,-3.010679,0.18,C
ARKK,,0,,,-1.01,-2.00067949,0,-3.010679,-1.01,
BAC,"2021-05-12, 10:44:01",1,41.9873,41.18,-41.9873,-0.419873,42.407173,0,-0.8073,O
BAC,"2021-05-12, 10:49:31",-1,41.86,41.18,41.86,-0.418932486,-42.407173,-0.966105,0.68,C
BAC,,0,,,-0.1273,-0.838805486,0,-0.966105,-0.1273,
BBI,"2021-03-18, 11:30:13",14,1.3,1.24,-18.2,-0.182,18.382,0,-0.84,O
BBI,"2021-03-18, 14:16:37",-14,1.24,1.24,17.36,-0.211754536,-18.382,-1.233755,0,C
BBI,,0,,,-0.84,-0.393754536,0,-1.233755,-0.84,
BCEL,"2021-03-22, 10:58:31",1,17.18,16,-17.18,-0.1718,17.3518,0,-1.18,O
BCEL,"2021-03-22, 14:21:26",-1,16.61,16,16.61,-0.166303711,-17.3518,-0.908104,0.61,C
BCEL,,0,,,-0.57,-0.338103711,0,-0.908104,-0.57,
BFLY,"2021-03-22, 10:46:40",1,19.16,19.65,-19.16,-0.1916,19.3516,0,0.49,O
BFLY,"2021-03-23, 09:30:04",-1,18.4,18.59,18.4,-0.18421284,-19.3516,-1.135813,-0.19,C
BFLY,"2021-05-24, 11:02:30",7,10.59,10.61,-74.13,-0.7413,74.8713,0,0.14,O
BFLY,,7,,,-74.89,-1.11711284,74.8713,-1.135813,0.44,
BOWX,"2021-04-01, 10:32:03",2,12.5,12.93,-25,-0.25,25.25,0,0.86,O
BOWX,"2021-04-13, 10:09:32",-2,13.69,13.55,27.38,-0.274177638,-25.25,1.855822,0.28,C
BOWX,,0,,,2.38,-0.524177638,0,1.855822,1.14,
BOXL,"2021-03-18, 11:01:15",6,2.82,2.56,-16.92,-0.1692,17.0892,0,-1.56,O
BOXL,"2021-03-18, 12:56:05",-6,2.67,2.56,16.02,-0.160995702,-17.0892,-1.230196,0.66,C
BOXL,,0,,,-0.9,-0.330195702,0,-1.230196,-0.9,
BPTH,"2021-03-18, 11:06:18",2,7.61,7.09,-15.22,-0.1522,15.3722,0,-1.04,O
BPTH,"2021-03-18, 11:26:06",-2,7.3738,7.09,14.7476,-0.147789213,-15.3722,-0.772389,0.5676,C
BPTH,,0,,,-0.4724,-0.299989213,0,-0.772389,-0.4724,
BSQR,"2021-03-18, 11:02:23",3,5.89,5.38,-17.67,-0.1767,17.8467,0,-1.53,O
BSQR,"2021-03-18, 12:55:41",-3,5.565,5.38,16.695,-0.167392145,-17.8467,-1.319092,0.555,C
BSQR,,0,,,-0.975,-0.344092145,0,-1.319092,-0.975,
BTBT,"2021-05-26, 10:31:00",5,9.15,9.05,-45.75,-0.4575,46.2075,0,-0.5,O
BTBT,"2021-05-26, 12:46:43",-5,9.01,9.05,45.05,-0.466324755,-46.2075,-1.623825,-0.2,C
BTBT,,0,,,-0.7,-0.923824755,0,-1.623825,-0.7,
CAN,"2021-03-30, 10:58:28",1,19.56,21.26,-19.56,-0.1956,19.7556,0,1.7,O
CAN,"2021-04-06, 09:30:00",-1,18.8,19.25,18.8,-0.19121488,-19.7556,-1.146815,-0.45,C
CAN,"2021-05-26, 10:31:11",5,8.59,8.66,-42.95,-0.4295,43.3795,0,0.35,O
CAN,"2021-05-26, 11:04:48",-5,8.45,8.66,42.25,-0.423310475,-43.3795,-1.55281,-1.05,C
CAN,,0,,,-1.46,-1.239625355,0,-2.699625,0.55,
CCNC,"2021-03-18, 11:01:23",2,6.21,5.45,-12.42,-0.1242,12.5442,0,-1.52,O
CCNC,"2021-03-18, 14:04:43",-2,5.56,5.45,11.12,-0.117494712,-12.5442,-1.541695,0.22,C
CCNC,,0,,,-1.3,-0.241694712,0,-1.541695,-1.3,
CERT,"2021-03-25, 10:30:52",1,28.36,28.56,-28.36,-0.2836,28.6436,0,0.2,O
CERT,"2021-03-25, 11:46:05",-1,27.4638,28.56,27.4638,-0.274897065,-28.6436,-1.454697,-1.0962,C
CERT,,0,,,-0.8962,-0.558497065,0,-1.454697,-0.8962,
CF,"2021-05-18, 10:30:39",1,57.055,54.57,-57.055,-0.57055,57.62555,0,-2.485,O
CF,"2021-05-18, 10:51:59",-1,56.465,54.57,56.465,-0.565056972,-57.62555,-1.725607,1.895,C
CF,,0,,,-0.59,-1.135606972,0,-1.725607,-0.59,
CHS,"2021-03-18, 11:01:10",4,3.885,3.63,-15.54,-0.159,15.699,0,-1.02,O
CHS,"2021-03-18, 14:10:25",-4,3.762,3.63,15.048,-0.151032745,-15.699,-0.802033,0.528,C
CHS,,0,,,-0.492,-0.310032745,0,-0.802033,-0.492,
CLF,"2021-05-10, 13:04:16",2,21.63,20.71,-43.26,-0.4386,43.6986,0,-1.84,O
CLF,"2021-05-10, 13:38:25",-2,21.375,20.71,42.75,-0.427956025,-43.6986,-1.376556,1.33,C
CLF,"2021-05-17, 10:31:39",3,20.2,20.89,-60.6,-0.606,61.206,0,2.07,O
CLF,"2021-05-19, 09:30:01",-3,19.45,19.03,58.35,-0.593154585,-61.206,-3.449155,1.26,C
CLF,,0,,,-2.76,-2.06571061,0,-4.825711,2.82,
CLOV,"2021-05-17, 10:30:43",10,7.73,6.82,-77.3,-0.773,78.073,0,-9.1,O
CLOV,"2021-05-17, 10:54:56",-10,7.632,6.82,76.32,-0.764779232,-78.073,-2.517779,8.12,C
CLOV,,0,,,-0.98,-1.537779232,0,-2.517779,-0.98,
CLPS,"2021-03-19, 10:46:26",2,6.3,6,-12.6,-0.126,12.726,0,-0.6,O
CLPS,"2021-03-19, 12:51:35",-2,6.1,6,12.2,-0.12230022,-12.726,-0.6483,0.2,C
CLPS,,0,,,-0.4,-0.24830022,0,-0.6483,-0.4,
CLVS,"2021-03-19, 10:30:28",2,7.43,7.86,-14.86,-0.1546,15.0146,0,0.86,O
CLVS,"2021-03-19, 11:34:25",-2,8.73,7.86,17.46,-0.174927046,-15.0146,2.270473,1.74,C
CLVS,,0,,,2.6,-0.329527046,0,2.270473,2.6,
CRCT,"2021-04-19, 10:02:47",2,22.57,23.34,-45.14,-0.4514,45.5914,0,1.54,O
CRCT,"2021-04-20, 10:44:25",-2,22.01,20.35,44.02,-0.446262502,-45.5914,-2.017663,3.32,C
CRCT,,0,,,-1.12,-0.897662502,0,-2.017663,4.86,
CTHR,"2021-03-19, 11:00:21",6,2.98,3.11,-17.88,-0.1788,18.0588,0,0.78,O
CTHR,"2021-03-22, 12:32:36",-6,2.86,2.87,17.16,-0.189201516,-18.0588,-1.088002,-0.06,C
CTHR,,0,,,-0.72,-0.368001516,0,-1.088002,0.72,
CUE,"2021-05-10, 13:05:49",4,15.19,14.38,-60.76,-0.6076,61.3676,0,-3.24,O
CUE,"2021-05-10, 13:56:14",-4,14.39,14.38,57.56,-0.576369556,-61.3676,-4.38397,0.04,C
CUE,,0,,,-3.2,-1.183969556,0,-4.38397,-3.2,
DLPN,"2021-03-23, 10:30:11",1,14.98,18.33,-14.98,-0.1528,15.1328,0,3.35,O
DLPN,"2021-03-23, 10:46:22",-1,12.1,18.33,12.1,-0.12418071,-15.1328,-3.156981,-6.23,C
DLPN,"2021-03-23, 10:57:24",2,12.86,18.33,-25.72,-0.2572,25.9772,0,10.94,O
DLPN,"2021-03-23, 14:55:09",-2,17.36,18.33,34.72,-0.347615072,-25.9772,8.395185,-1.94,C
DLPN,,0,,,6.12,-0.881795782,0,5.238204,6.12,
DOYU,"2021-05-25, 10:53:01",9,7.7,7.58,-69.3,-0.72,70.02,0,-1.08,O
DOYU,"2021-05-25, 15:35:35",-9,7.605,7.58,68.445,-0.685870069,-70.02,-2.26087,0.225,C
DOYU,,0,,,-0.855,-1.405870069,0,-2.26087,-0.855,
DRIO,"2021-03-22, 10:42:08",1,24.11,24.22,-24.11,-0.2411,24.3511,0,0.11,O
DRIO,"2021-03-23, 10:31:04",-1,22.5,22.7,22.5,-0.22823375,-24.3511,-2.079334,-0.2,C
DRIO,,0,,,-1.61,-0.46933375,0,-2.079334,-0.09,
DVN,"2021-05-10, 14:09:33",2,26.53,26.01,-53.06,-0.5306,53.5906,0,-1.04,O
DVN,"2021-05-10, 14:36:52",-2,26.185,26.01,52.37,-0.524205087,-53.5906,-1.744805,0.35,C
DVN,,0,,,-0.69,-1.054805087,0,-1.744805,-0.69,
EEM,"2021-04-23, 11:47:29",1,54.588,54.63,-54.588,-0.54588,55.13388,0,0.042,O
EEM,"2021-04-28, 09:48:15",-1,54.97,55.08,54.97,-0.550099347,-55.13388,-0.713979,-0.11,C
EEM,"2021-05-13, 10:31:12",1,52.358,52.01,-52.358,-0.52358,52.88158,0,-0.348,O
EEM,"2021-05-13, 10:35:31",-1,52.3,52.01,52.3,-0.52338573,-52.88158,-1.104966,0.29,C
EEM,,0,,,0.324,-2.142945077,0,-1.818945,-0.126,
ET,"2021-05-10, 13:12:02",6,9.78,9.79,-58.68,-0.5988,59.2788,0,0.06,O
ET,"2021-05-10, 14:30:12",-6,9.71,9.79,58.26,-0.600411126,-59.2788,-1.619211,-0.48,C
ET,,0,,,-0.42,-1.199211126,0,-1.619211,-0.42,
EVLO,"2021-04-12, 10:42:55",2,12.26,11.82,-24.52,-0.2452,24.7652,0,-0.88,O
EVLO,"2021-04-12, 13:39:04",-2,11.46,11.82,22.92,-0.229554892,-24.7652,-2.074755,-0.72,C
EVLO,,0,,,-1.6,-0.474754892,0,-2.074755,-1.6,
EVOL,"2021-03-18, 10:59:31",4,4.4,3.85,-17.6,-0.188,17.788,0,-2.2,O
EVOL,"2021-03-18, 11:42:01",-4,4.04,3.85,16.16,-0.162158416,-17.788,-1.790158,0.76,C
EVOL,,0,,,-1.44,-0.350158416,0,-1.790158,-1.44,
F,"2021-05-13, 10:33:21",7,11.655,11.55,-81.585,-0.81585,82.40085,0,-0.735,O
F,"2021-05-13, 10:44:52",-7,11.5911,11.55,81.1377,-0.812623802,-82.40085,-2.075774,0.2877,C
F,"2021-05-17, 10:30:21",6,11.885,12.15,-71.31,-0.7131,72.0231,0,1.59,O
F,"2021-05-18, 09:30:01",-6,12.29,12.14,73.74,-0.744490074,-72.0231,0.97241,0.9,C
F,"2021-05-21, 09:47:50",7,12.72,13.33,-89.04,-0.8904,89.9304,0,4.27,O
F,"2021-05-21, 12:06:49",-7,13.23,13.33,92.61,-0.927405311,-89.9304,1.752195,-0.7,C
F,,0,,,5.5527,-4.903869187,0,0.648831,5.6127,
FCEL,"2021-05-14, 11:03:37",9,7.74,7.75,-69.66,-0.6966,70.3566,0,0.09,O
FCEL,"2021-05-14, 12:54:57",-9,7.6,7.75,68.4,-0.70881984,-70.3566,-2.66542,-1.35,C
FCEL,,0,,,-1.26,-1.40541984,0,-2.66542,-1.26,
FF,"2021-05-17, 15:03:27",3,16.14,16.2,-48.42,-0.4932,48.9132,0,0.18,O
FF,"2021-05-19, 09:30:03",-3,15.76,15.94,47.28,-0.475198128,-48.9132,-2.108398,-0.54,C
FF,,0,,,-1.14,-0.968398128,0,-2.108398,-0.36,
FLY,"2021-03-29, 10:32:05",2,16.72,16.89,-33.44,-0.3344,33.7744,0,0.34,O
FLY,,2,,,-33.44,-0.3344,33.7744,0,0.34,
FNKO,"2021-03-24, 10:31:28",1,19.9,19.24,-19.9,-0.199,20.099,0,-0.66,O
FNKO,"2021-03-24, 15:43:21",-1,18.75,19.24,18.75,-0.190514625,-20.099,-1.539515,-0.49,C
FNKO,,0,,,-1.15,-0.389514625,0,-1.539515,-1.15,
FOE,"2021-05-11, 11:29:07",1,21.58,21.78,-21.58,-0.2158,21.7958,0,0.2,O
FOE,,1,,,-21.58,-0.2158,21.7958,0,0.2,
FSLY,"2021-05-07, 12:33:20",2,43.14,41.88,-86.28,-0.8628,87.1428,0,-2.52,O
FSLY,"2021-05-07, 12:45:30",-2,42.81,41.88,85.62,-0.856874662,-87.1428,-2.379675,1.86,C
FSLY,,0,,,-0.66,-1.719674662,0,-2.379675,-0.66,
FSR,"2021-05-14, 11:04:49",7,10.36,10.5,-72.52,-0.7462,73.2662,0,0.98,O
FSR,"2021-05-14, 11:31:49",-7,10.235,10.5,71.645,-0.717648389,-73.2662,-2.338848,-1.855,C
FSR,,0,,,-0.875,-1.463848389,0,-2.338848,-0.875,
FTCV,"2021-04-08, 10:31:22",2,13.78,13.66,-27.56,-0.2756,27.8356,0,-0.24,O
FTCV,"2021-04-13, 09:44:11",-2,13.21,13.65,26.42,-0.264572742,-27.8356,-1.680173,-0.88,C
FTCV,,0,,,-1.14,-0.540172742,0,-1.680173,-1.12,
FUBO,"2021-05-14, 11:07:34",3,20.57,20.53,-61.71,-0.6171,62.3271,0,-0.12,O
FUBO,"2021-05-14, 12:55:00",-3,20.22,20.53,60.66,-0.616266366,-62.3271,-2.283366,-0.93,C
FUBO,,0,,,-1.05,-1.233366366,0,-2.283366,-1.05,
GGB,"2021-05-10, 13:54:49",9,7.0489,6.94,-63.4401,-0.634401,64.074501,0,-0.9801,O
GGB,"2021-05-10, 14:21:58",-9,7,6.94,63,-0.6367923,-64.074501,-1.711293,0.54,C
